М.;№;Ф.И.;Г.р.;результат;Отстование
1;10;Галушкин;;28:00;
2;19;Разубаев;;28:11;
3;27;Шаманаев;;28:14;
4;26;Костюков;;28:25;
5;23;Шашин;;29:25;
6;8;Садюхин;;29:33;
7;31;Шахин;;29:38;
8;18;Сурнев;;29:46;
9;1;Серебряков;;29:58;
10;11;Куликов;;30:00;
10;6;Ившин;;30:00;
12;15;Дудун;;30:06;
13;17;Кирдеев;;30:22;
14;14;Чибриков;;30:38;
15;5;Филющенко;;31:52;
16;21;Алексеев;;32:31;
17;20;Карагачев;;32:33;
18;30;Герман;;32:36;
19;25;Гришков;;32:50;
20;16;Абутасаров;;33:05;
21;3;Осин;;33:17;
22;9;Икличкин;;33:23;
23;13;Султанов;;33:27;
24;28;Шашкин;;33:35;
25;2;Чернов;;33:49;
26;4;Сафин;;35:22;
27;32;Жибоедов;;35:33;
28;22;Кантимиров;;36:02;
29;7;Терентьев;;37:02;
30;24;Пантелеев;;37:43;
;12;Гамидов;;26:25;



М.;№;Ф.И.;Г.р.;результат;Отстование
1;45;Халиулова;;26:10;
2;39;Затюряхина;;27:15;
3;48;Дубова;;27:33;
4;35;Дмитриева;;28:55;
5;38;Горшкова;;30:04;
6;36;Тимашева;;30:19;
7;37;Чернова;;30:41;
8;44;Кузнецова;;31:19;
9;43;Хананова;;31:34;
10;34;Чугайнова;;31:50;
11;47;Якличкина;;32:16;
12;46;Тяпкова;;34:20;
13;41;Перова;;35:03;
14;40;Скворцова;;35:48;